régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
1;741;LUXEMBOURG;ILE-DE-FRANCE;67 69 RUE MONSIEUR LE PRINCE;75106;Paris 6e Arrondissement;40452.0;75;00851;Paris;10949158.0;01-Paris;3.0;334.0;53.0;5074.0;66508.0;43660.0;52.3316536875859;De 50 à 80 000 entrées;;OUI;A;RDJPPR;FIXE;NON;C;284.0;121.0;35.0;66.44461242873791;6.560836561781473;13.715392610790891;13.279158398689722;229.0;79.38045292765126;48.84824;2.340797;48.84824, 2.340797
1;802;UGC ROTONDE;ILE-DE-FRANCE;103 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;40452.0;75;00851;Paris;10949158.0;01-Paris;3.0;467.0;53.0;4649.0;75597.0;40081.0;88.61056360869239;De 50 à 80 000 entrées;UGC;NON;NON;;FIXE;NON;C;92.0;53.0;49.0;74.9037660224612;2.742172308424937;17.562866251306268;4.791195417807585;81.0;90.08955381827322;48.842318;2.328975;48.842318, 2.328975
1;2982;CAUMARTIN;ILE-DE-FRANCE;101 RUE ST LAZARE;75109;Paris 9e Arrondissement;60784.0;75;00851;Paris;10949158.0;01-Paris;5.0;501.0;53.0;9058.0;175085.0;95909.0;82.55325360497972;De 150 à 200 000 entrées;;OUI;A;;FIXE;NON;C;130.0;110.0;108.0;73.22084185324559;7.467738886884204;11.915849041474074;7.395570218396137;116.0;92.69320869918839;48.87561;2.32791;48.87561, 2.32791
1;3211;LE CINEMA DES CINEASTES;ILE-DE-FRANCE;7 AVENUE DE CLICHY;75117;Paris 17e Arrondissement;167765.0;75;00851;Paris;10949158.0;01-Paris;3.0;478.0;53.0;5127.0;132964.0;76311.0;74.23962469368767;De 100 à 150 000 entrées;;OUI;A;RDJP;FIXE;NON;C;170.0;77.0;62.0;73.90702212709704;5.183185924270561;7.5776651663466685;13.332126782285734;152.0;96.25995404614271;48.884303;2.326888;48.884303, 2.326888
1;3222;PATHE WEPLER;ILE-DE-FRANCE;132 -140 BOULEVARD DE CLICHY;75118;Paris 18e Arrondissement;191911.0;75;00851;Paris;10949158.0;01-Paris;11.0;1757.0;53.0;23490.0;625295.0;424464.0;47.314024275321344;De 450 à 700 000 entrées;PATHE-GAUMONT;NON;NON;;FIXE;OUI;C;303.0;251.0;199.0;43.3402683697826;38.516547319527774;13.88362041158635;4.259563899103283;134.0;23.14721630862525;48.883938;2.328034;48.883938, 2.328034
1;6611;UGC CINE CITE BERCY;ILE-DE-FRANCE;2 COUR SAINT-EMILION;75112;Paris 12e Arrondissement;141275.0;75;00851;Paris;10949158.0;01-Paris;18.0;4480.0;53.0;37654.0;964163.0;681518.0;41.47285911744076;De 700 000 à 1 million d'entrées;UGC;NON;NON;;FIXE;OUI;C;369.0;280.0;280.0;34.53115216518521;44.62276455574023;15.242833161022714;5.603250118051843;184.0;21.396818528834814;48.833595;2.38604;48.833595, 2.38604
1;7491;GAUMONT AQUABOULEVARD;ILE-DE-FRANCE;8/16 RUE DU COLONEL PIERRE AVIA;75115;Paris 15e Arrondissement;231186.0;75;00851;Paris;10949158.0;01-Paris;14.0;2583.0;53.0;26779.0;378789.0;73673.0;414.149009813636;De 300 à 450 000 entrées;PATHE-GAUMONT;NON;NON;;FIXE;OUI;C;314.0;255.0;207.0;24.870013649230703;54.90469437938488;14.954139647031955;5.271152324352458;103.0;4.80617561302041;48.830408;2.276322;48.830408, 2.276322
1;7711;GAUMONT MONTPARNOS;ILE-DE-FRANCE;16 18 RUE D ODESSA;75114;Paris 14e Arrondissement;134926.0;75;00851;Paris;10949158.0;01-Paris;4.0;397.0;53.0;7890.0;144713.0;84252.0;71.76209466837582;De 100 à 150 000 entrées;PATHE-GAUMONT;NON;NON;;FIXE;NON;C;192.0;170.0;72.0;59.93912562257886;21.167681239623686;10.540951853901493;8.35224128389596;99.0;48.05340343110127;48.841914;2.324596;48.841914, 2.324596
1;8451;STUDIO DES URSULINES;ILE-DE-FRANCE;10 RUE DES URSULINES;75105;Paris 5e Arrondissement;58050.0;75;00851;Paris;10949158.0;01-Paris;1.0;122.0;41.0;969.0;26628.0;14363.0;85.39302374155817;De 20 à 30 000 entrées;;OUI;A;JPPR;FIXE;NON;C;108.0;13.0;8.0;51.62347333929104;15.061066428358656;24.909145070002978;8.406315162347335;96.0;90.02680965147452;48.842733;2.342044;48.842733, 2.342044
1;8513;REFLET MEDICIS 2;ILE-DE-FRANCE;7 RUE CHAMPOLLION;75105;Paris 5e Arrondissement;58050.0;75;00851;Paris;10949158.0;01-Paris;3.0;339.0;53.0;5400.0;91053.0;48873.0;86.30532195690873;De 80 à 100 000 entrées;;OUI;A;RDPR;FIXE;NON;C;302.0;63.0;37.0;45.32869243939803;6.430792105974588;29.528250878615843;18.712264576011535;215.0;83.57551590519961;48.849591;2.342836;48.849591, 2.342836
